,region,hemisphere,CN,MCI,AD,AD-CN,feature
558,G_front_middle,Right,-0.203973363619078,0.0154343780089247,-0.378923627496546,-0.174950263877468,sulcal_depth
559,G_pariet_inf-Supramar,Left,-0.13244864137099,0.0400967597802351,-0.258800802930949,-0.126352161559959,sulcal_depth
560,S_suborbital,Right,0.147318290998846,0.286314413330537,-0.0684621920328078,-0.215780483031654,sulcal_depth
561,S_precentral-sup-part,Left,-0.680370525867122,-0.329532083008694,-0.933765858161906,-0.253395332294784,sulcal_depth
562,G_oc-temp_lat-fusifor,Right,0.206841921271574,0.388031269268228,0.0914869073445652,-0.115355013927009,sulcal_depth
563,S_interm_prim-Jensen,Left,-0.251121464650794,-0.0627472157104177,-0.490149902823709,-0.239028438172916,sulcal_depth
564,G_pariet_inf-Angular,Right,-0.168294609121642,0.110019826089556,-0.290754498814414,-0.122459889692772,sulcal_depth
565,G_occipital_sup,Right,-0.0527202492032156,0.179670293199837,-0.195854714912033,-0.143134465708817,sulcal_depth
566,G_cingul-Post-ventral,Left,0.201710846135139,0.319630124581913,0.243974453772696,0.0422636076375569,sulcal_depth
567,S_collat_transv_ant,Left,0.142540153851336,0.343416752675723,0.0758110364605007,-0.0667291173908353,sulcal_depth
568,S_temporal_sup,Left,-0.0429284345940967,0.0842027503375105,-0.119028620938933,-0.0761001863448359,sulcal_depth
569,G_Ins_lg_and_S_cent_ins,Left,-0.112568236557116,0.179078031632098,-0.314730560767393,-0.202162324210276,sulcal_depth
570,G_parietal_sup,Right,-0.237704930826288,0.0265237360887865,-0.424095286553702,-0.186390355727414,sulcal_depth
571,G_front_inf-Orbital,Left,-0.227626527796828,-0.0520209809157866,-0.432049904337226,-0.204423376540398,sulcal_depth
572,Pole_occipital,Left,0.142496869073431,0.34779106872511,0.107776040600247,-0.0347208284731837,sulcal_depth
573,S_central,Left,-0.560001332878883,-0.296267828051031,-0.725485168636653,-0.165483835757771,sulcal_depth
574,Lat_Fis-ant-Vertical,Left,-0.0692011842593934,0.173704753442721,-0.383077299520274,-0.313876115260881,sulcal_depth
575,S_oc_sup_and_transversal,Left,-0.0399573530905068,0.205491256556238,-0.233321465089354,-0.193364111998847,sulcal_depth
576,G_temp_sup-Lateral,Right,0.0987270314113447,0.353281376785372,-0.12326389267409,-0.221990924085434,sulcal_depth
577,G_and_S_paracentral,Right,-0.111119732763841,0.0188480775101069,-0.188769535972987,-0.077649803209146,sulcal_depth
578,S_front_middle,Left,-0.466704631306818,-0.236948784126005,-0.642473272265374,-0.175768640958556,sulcal_depth
579,G_precentral,Right,-0.363497156092395,-0.124371265575266,-0.492390290688368,-0.128893134595973,sulcal_depth
580,Pole_temporal,Right,0.165822849325704,0.322413442166935,0.0283531065091976,-0.137469742816507,sulcal_depth
581,S_oc-temp_med_and_Lingual,Left,0.105329187831573,0.368839606557011,0.0224497455981284,-0.0828794422334443,sulcal_depth
582,G_orbital,Left,0.125804386438455,0.272539259629441,-0.0173317084643578,-0.143136094902813,sulcal_depth
583,Lat_Fis-post,Left,-0.496367799242886,-0.293992263016703,-0.43823553563228,0.0581322636106064,sulcal_depth
584,S_circular_insula_ant,Left,-0.0448630543545435,0.0725891207991864,-0.132058820421729,-0.0871957660671856,sulcal_depth
