region,hemisphere,CN,MCI,AD,AD-CN,MCI-CN
S_orbital_lateral,Average,0.37824351230361997,0.8115626327616763,0.9801039233484085,0.6018604110447885,0.4333191204580563
G_precentral,Average,0.091826696,0.7837710367470874,0.6585318232590939,0.5667051271210874,0.6919443406090809
S_suborbital,Average,-0.102309239,0.4952518917074124,0.7517988243526291,0.8541080636821297,0.5975611310369129
G_rectus,Average,0.17722574239527789,0.8234235969729449,1.1522036699975198,0.9749779276022419,0.646197855
G_and_S_frontomargin,Average,-0.470503362,0.017357648,0.5224593847675183,0.9929627464579536,0.48786101011378263
G_oc-temp_med-Lingual,Average,0.001513262,0.6838490235883701,1.1680910264953703,1.1665777648511133,0.6823357619441129
G_and_S_cingul-Ant,Average,-0.185617353,0.43130168612524816,0.9285030940630021,1.1141204468718457,0.6169190389340917
S_orbital-H_Shaped,Average,-0.956982929,-0.555067503,0.3810972991510577,1.3380802281448585,0.40191542614013953
G_and_S_paracentral,Average,0.41495400443485053,1.1259861384909415,0.9528293099345063,0.5378753054996558,0.711032134
S_temporal_transverse,Average,-0.450053245,0.008487606,1.2059152206116588,1.6559684653169868,0.45854085039530734
G_occipital_middle,Average,0.6234066043088528,1.216179219496576,1.6902683557183193,1.0668617514094665,0.5927726151877232
G_cuneus,Average,1.3415787089736915,2.0568883364910917,2.066198677462897,0.7246199684892054,0.7153096275174002
G_oc-temp_lat-fusifor,Average,-1.454505848,-1.00570884,0.3556103101516846,1.8101161583180436,0.44879700866509387
S_oc_sup_and_transversal,Average,0.6870584684890172,1.2854342084783938,1.6450636856694216,0.9580052171804044,0.5983757399893767
G_and_S_occipital_inf,Average,-1.025723295,-0.67799842,0.24668338377943477,1.272406678727576,0.3477248754356572
G_and_S_cingul-Mid-Post,Average,-0.532208585,-0.022565746,0.3010538318024503,0.8332624167165994,0.509642839
G_temp_sup-Lateral,Average,-0.463457259,-0.065740744,1.0199369551578803,1.4833942144209193,0.39771651483404047
S_precentral-inf-part,Average,0.18888600225720337,0.7339295782694057,1.162316463,0.9734304602597166,0.5450435760122023
G_orbital,Average,-1.332875687,-0.825766393,0.041262672,1.374138358605415,0.507109294
Pole_temporal,Average,-1.825304217,-1.197078625,0.4999315581214815,2.3252357747640695,0.628225592
S_circular_insula_sup,Average,0.6673292393994192,1.4420944423073956,1.4705312885008546,0.8032020491014353,0.7747652029079763
G_oc-temp_med-Parahip,Average,-1.67410039,-0.881146392,0.3694968273769603,2.043597217027055,0.7929539974508626
G_and_S_subcentral,Average,-0.049006529,0.3664239180928243,0.8406239398789991,0.8896304684471122,0.41543044666093754
S_front_middle,Average,0.7399394582596983,1.4172945017866758,1.310792120629075,0.5708526623693766,0.6773550435269775
G_cingul-Post-dorsal,Average,-0.693034638,0.008719275,0.9258605250460781,1.6188951632790234,0.7017539129758834
G_postcentral,Average,1.2548071894765807,1.9907115607464745,1.6793854852887966,0.42457829581221596,0.7359043712698938
G_temporal_middle,Average,-0.766654939,-0.250428618,1.3046064215617523,2.071261360352307,0.5162263209868965
Lat_Fis-ant-Vertical,Average,0.513400707,1.0541066838933377,1.446538069641936,0.9331373628344761,0.5407059770858778
S_oc-temp_med_and_Lingual,Average,-0.6890584,-0.093524309,0.8726410459197385,1.5616994456941722,0.595534091
Pole_occipital,Average,-0.558648165,0.063859508,0.4876960724362537,1.0463442373185852,0.6225076726799083
G_front_middle,Average,0.43597421996200836,1.0173487663160456,1.145342217116776,0.7093679971547676,0.5813745463540373
S_postcentral,Average,0.7526432304303717,1.315086424981286,1.5760947372549774,0.8234515068246057,0.5624431945509142
G_and_S_transv_frontopol,Average,-0.023084638,0.3545706477161447,0.7587146534433387,0.7817992911416456,0.3776552854144516
G_Ins_lg_and_S_cent_ins,Average,-0.30327027,0.3377698092531748,0.7547015563946187,1.057971826603827,0.641040079
G_front_sup,Average,-0.318651262,0.09840359,0.6748192919395688,0.9934705536657217,0.4170548519699827
