,region,hemisphere,F (CN),M (CN),F-M (CN)
174,S_interm_prim-Jensen,Average,-0.4192407843030515,0.302414768855919,-0.7216555531589706
175,S_collat_transv_post,Average,-2.129009304573584,-1.307984171788059,-0.8210251327855251
176,G_front_inf-Orbital,Average,-1.5140826025317944,-0.7322831581915707,-0.7817994443402236
177,G_parietal_sup,Average,0.47152442419729024,1.1367641066548875,-0.6652396824575972
178,G_temp_sup-Plan_polar,Average,-0.9354022442963792,-0.6567218206269014,-0.27868042366947776
179,S_circular_insula_inf,Average,0.5679460421370653,1.0951923519547075,-0.5272463098176422
180,Lat_Fis-post,Average,-1.1884120825634028,-0.44239377430444904,-0.7460183082589538
181,S_oc_middle_and_Lunatus,Average,-0.8886579968681169,-0.4063232139924889,-0.482334782875628
182,G_and_S_cingul-Mid-Post,Average,-0.8794717657021607,-0.09255689358427413,-0.7869148721178866
183,G_precuneus,Average,0.4452595476657855,1.0454276205798176,-0.6001680729140322
184,G_temp_sup-G_T_transv,Average,-0.2597000454619749,0.5793714416574263,-0.8390714871194012
185,S_temporal_sup,Average,-0.6825552208016101,-0.005503169607180211,-0.6770520511944299
186,S_orbital_med-olfact,Average,-0.9199956971272588,-0.3477443555452761,-0.5722513415819828
187,G_pariet_inf-Angular,Average,0.7292003692850262,1.417320932688893,-0.6881205634038667
188,G_and_S_cingul-Mid-Ant,Average,-1.5207000627229943,-0.648613950588601,-0.8720861121343932
189,Lat_Fis-ant-Horizont,Average,0.13496429330307752,0.8299137359112088,-0.6949494426081313
190,G_rectus,Average,-0.021588940507031973,0.41571096011578357,-0.43729990062281554
191,G_cuneus,Average,1.1713847209603492,1.631291078339782,-0.45990635737943286
192,G_and_S_frontomargin,Average,-0.8143619633871235,-0.0648138534255289,-0.7495481099615946
193,S_temporal_transverse,Average,-0.8205762514205126,0.015510000137685054,-0.8360862515581977
194,S_cingul-Marginalis,Average,0.2650069767967867,0.968314643913533,-0.7033076671167462
195,S_suborbital,Average,-0.3113365698552745,0.10115878345186446,-0.412495353307139
196,S_calcarine,Average,-0.13543964990186513,0.39201119711489085,-0.527450847016756
197,G_temporal_middle,Average,-0.970520598509074,-0.4955971231472927,-0.4749234753617813
198,G_precentral,Average,-0.22465720712204834,0.49181176337740956,-0.7164689704994579
199,S_precentral-inf-part,Average,-0.19505648706693096,0.6834173782510088,-0.8784738653179398
200,G_occipital_middle,Average,0.44233663827563996,0.8759205668177779,-0.4335839285421379
201,Pole_temporal,Average,-1.9982145078507534,-1.5784988483730429,-0.4197156594777105
202,S_precentral-sup-part,Average,-0.09648891573600206,0.8764218269172797,-0.9729107426532817
203,S_temporal_inf,Average,-1.918112033257429,-1.5454677974867406,-0.3726442357706885
204,G_and_S_paracentral,Average,0.13283105221860095,0.7568330457819452,-0.6240019935633443
205,G_and_S_subcentral,Average,-0.363744218608816,0.35446602285250084,-0.7182102414613168
206,G_temp_sup-Plan_tempo,Average,0.06963028331457366,0.6259264032219858,-0.5562961199074121
207,S_collat_transv_ant,Average,-0.935472065864321,-0.47182837821783596,-0.463643687646485
208,G_front_middle,Average,0.13921555469362273,0.8278257685339607,-0.688610213840338
209,G_occipital_sup,Average,1.903591932655072,2.479344957974747,-0.5757530253196748
210,S_circular_insula_sup,Average,0.3419889812551991,1.1364455786404752,-0.7944565973852762
211,G_front_sup,Average,-0.6958737839524918,0.14484227969073993,-0.8407160636432317
212,S_occipital_ant,Average,-1.0207419653983862,-0.3392208413199497,-0.6815211240784366
213,G_oc-temp_lat-fusifor,Average,-1.7464170993270636,-1.0625296231568502,-0.6838874761702134
214,G_cingul-Post-ventral,Average,-0.44547072111234,0.08382864305911304,-0.5292993641714531
215,S_central,Average,0.30599497551247745,1.0860428263289683,-0.7800478508164909
216,G_Ins_lg_and_S_cent_ins,Average,-0.5775572101174975,0.0757083760064724,-0.6532655861239699
217,G_cingul-Post-dorsal,Average,-0.9486699471979505,-0.34591373858917346,-0.602756208608777
218,S_oc_sup_and_transversal,Average,0.37427978212559704,1.076702949797681,-0.702423167672084
219,G_oc-temp_med-Parahip,Average,-1.8706264858706665,-1.3836072191148636,-0.48701926675580287
220,S_postcentral,Average,0.32487547211914725,1.2592910672304425,-0.9344155951112952
221,S_circular_insula_ant,Average,-1.2300627458635156,-0.5714405475760527,-0.6586221982874629
